,_id,Insumos_entregados,N_insumos
287,429947880,Medicamentos,5
288,429948073,Medicamentos,4
289,429948132,Medicamentos,5
290,429948177,Medicamentos,1
291,429948224,Medicamentos,10
292,429948284,Medicamentos,10
293,429948361,Medicamentos,1
294,429949036,Medicamentos,6
295,429949355,Medicamentos,4
296,429949428,Medicamentos,10
297,429949646,Medicamentos,5
298,429949773,Medicamentos,10
299,429949820,Medicamentos,1
300,429950181,Medicamentos,1
301,429950282,Medicamentos,5
302,429950414,Medicamentos,5
303,429950450,Medicamentos,4
304,429950514,Medicamentos,5
305,429950645,Medicamentos,2
306,429950686,Medicamentos,2
307,429950784,Medicamentos,5
308,429951916,Medicamentos,5
309,429951989,Medicamentos,2
310,429952069,Medicamentos,5
311,429952101,Medicamentos,5
312,429952180,Medicamentos,6
313,429952228,Medicamentos,5
314,429952292,Medicamentos,6
315,429952401,Medicamentos,1
316,429952438,Medicamentos,1
317,429952517,Medicamentos,1
318,429952565,Medicamentos,1
319,429952625,Medicamentos,10
320,429952752,Medicamentos,1
321,429953063,Medicamentos,1
322,429953202,Medicamentos,10
323,429953264,Medicamentos,4
324,429953344,Medicamentos,6
325,429953432,Medicamentos,1
326,429953503,Medicamentos,10
327,429953595,Medicamentos,10
328,429953629,Medicamentos,4
329,429953666,Medicamentos,10
330,429953727,Medicamentos,2
331,429953771,Medicamentos,2
332,429953821,Medicamentos,10
333,429953887,Medicamentos,10
334,429953960,Medicamentos,1
335,429954256,Medicamentos,10
336,429954440,Medicamentos,1
337,429954496,Medicamentos,1
338,429954530,Medicamentos,1
339,429954645,Medicamentos,10
340,429954820,Medicamentos,10
341,429954953,Medicamentos,5
342,429955014,Medicamentos,5
343,429955102,Medicamentos,5
344,429955152,Medicamentos,5
345,429955197,Medicamentos,10
346,429955242,Medicamentos,5
347,429955276,Medicamentos,4
348,429955323,Medicamentos,5
349,429955361,Medicamentos,4
350,429955391,Medicamentos,6
351,429955450,Medicamentos,5
352,429955511,Medicamentos,10
353,429955608,Medicamentos,1
354,429955665,Medicamentos,1
355,429955717,Medicamentos,1
356,429955761,Medicamentos,1
357,429955822,Medicamentos,5
358,429955879,Medicamentos,1
359,429955922,Medicamentos,10
360,429955969,Medicamentos,10
361,429956008,Medicamentos,10
362,429956084,Medicamentos,1
363,429958189,Medicamentos,5
364,429958252,Medicamentos,10
365,429958322,Medicamentos,5
366,429958391,Medicamentos,2
367,429958441,Medicamentos,10
368,429958500,Medicamentos,5
369,429958563,Medicamentos,5
370,429958632,Medicamentos,6
371,429958724,Medicamentos,4
372,429958811,Medicamentos,5
373,429958879,Medicamentos,10
374,429958964,Medicamentos,1
375,429959100,Medicamentos,1
376,429959197,Medicamentos,5
377,429959350,Medicamentos,6
378,429959521,Medicamentos,5
379,429959739,Medicamentos,1
380,429959829,Medicamentos,1
381,429960151,Medicamentos,1
382,429960245,Medicamentos,1
383,429960309,Medicamentos,5
384,429960384,Medicamentos,5
385,429960433,Medicamentos,6
386,429960501,Medicamentos,5
387,429960573,Medicamentos,5
388,429960635,Medicamentos,6
389,429960875,Medicamentos,5
390,429961162,Medicamentos,1
391,429961225,Medicamentos,6
392,429961320,Medicamentos,5
393,429961409,Medicamentos,6
394,429961520,Medicamentos,5
395,429961582,Medicamentos,4
396,429961924,Medicamentos,6
397,429962039,Medicamentos,2
398,429962141,Medicamentos,4
399,429962191,Medicamentos,6
400,429962309,Medicamentos,4
401,429962377,Medicamentos,2
402,429962467,Medicamentos,4
403,429962558,Medicamentos,4
404,429962699,Medicamentos,1
405,429962842,Medicamentos,1
406,429962947,Medicamentos,6
407,429963067,Medicamentos,1
408,429963550,Medicamentos,1
409,429963681,Medicamentos,6
410,429963855,Medicamentos,6
411,429964078,Medicamentos,1
412,429964173,Medicamentos,1
413,429964259,Medicamentos,10
414,429964357,Medicamentos,10
415,429964439,Medicamentos,1
416,429964551,Medicamentos,4
417,429964677,Medicamentos,1
418,429964837,Medicamentos,2
419,429965322,Medicamentos,1
420,429965473,Medicamentos,4
421,429965641,Medicamentos,1
422,429965738,Medicamentos,1
423,429965861,Medicamentos,4
424,429965933,Medicamentos,2
425,429966326,Medicamentos,1
426,429966454,Medicamentos,1
427,429966540,Medicamentos,10
428,429966660,Medicamentos,4
429,429966872,Medicamentos,10
430,429967021,Medicamentos,6
431,429967275,Medicamentos,10
432,429967372,Medicamentos,6
433,429967525,Medicamentos,5
434,429967604,Medicamentos,1
435,429967799,Medicamentos,1
436,429967879,Medicamentos,6
437,429967956,Medicamentos,6
438,429968067,Medicamentos,2
439,429968174,Medicamentos,1
440,429968251,Medicamentos,10
441,429968699,Medicamentos,6
442,429968814,Medicamentos,1
443,429968945,Medicamentos,1
444,429969032,Medicamentos,1
445,429969332,Medicamentos,10
446,429969586,Medicamentos,5
447,429969724,Medicamentos,5
448,429969863,Medicamentos,5
449,429970071,Medicamentos,5
450,429970196,Medicamentos,10
451,429970580,Medicamentos,5
452,430106533,Medicamentos,4
453,430107206,Medicamentos,5
454,430107521,Medicamentos,6
455,430107725,Medicamentos,10
456,430107960,,1
457,430108191,Medicamentos,1
458,430108683,Medicamentos,1
459,430108872,Medicamentos,1
460,430109059,Medicamentos,5
461,430109339,Medicamentos,1
462,430109695,Medicamentos,10
463,430110012,Medicamentos,10
464,430110271,Medicamentos,10
465,430110599,Medicamentos,1
466,430110801,Medicamentos,5
467,430111014,Medicamentos,10
468,430111213,Medicamentos,5
469,430111459,Medicamentos,2
470,430111731,Medicamentos,10
471,430112093,Medicamentos,5
472,430112359,Medicamentos,5
473,430112591,Medicamentos,6
474,430112818,Medicamentos,4
475,430113069,Medicamentos,5
476,430113330,Medicamentos,10
477,430113672,Medicamentos,1
478,430113917,Medicamentos,1
479,430114170,Medicamentos,5
480,430114393,Medicamentos,6
481,430114523,Medicamentos,5
482,430114736,Medicamentos,1
483,430114936,Medicamentos,2
484,430115123,Medicamentos,1
485,430115363,Medicamentos,1
486,430115570,Medicamentos,5
487,430115870,Medicamentos,5
488,430116126,Medicamentos,6
489,430116296,Medicamentos,5
490,430116442,Medicamentos,5
491,430116869,Medicamentos,6
492,430117307,Medicamentos,5
493,430117873,Medicamentos,5
494,430118214,Medicamentos,1
495,430119397,Medicamentos,10
496,430119716,Medicamentos,11
497,430120598,Medicamentos,5
498,430120934,Medicamentos,6
499,430121188,Medicamentos,5
500,430121428,Medicamentos,2
501,430121639,Medicamentos,1
502,430121924,Medicamentos,3
503,430122187,Medicamentos,5
504,430122469,Medicamentos,5
505,430122699,Medicamentos,5
506,430122893,Medicamentos,5
507,430123087,Medicamentos,4
508,430124260,Medicamentos,1
509,430124792,Medicamentos,3
510,430125048,Medicamentos,4
511,430125266,Medicamentos,5
512,430125490,Medicamentos,1
513,430125740,Medicamentos,10
514,430126038,Medicamentos,5
515,430126359,Medicamentos,1
516,430126635,Medicamentos,5
517,430126925,Medicamentos,6
