,_id,_uuid,__version__,_submission_time,_validation_status,timestamp,_submitted_by,fecha,monitor,Comunidad,actividad,poligono,linea,punto,transecto,_geolocation,uso_plantas,especie,num_plantas,otra_sp
21,393231477,22e74e1d-e57c-470c-92af-6e06f6f6705e,vyVCeasvVkmgvtHGva36kK,2024-10-09T20:44:08,Approved,1736873677,monitoreo_pachamama,2023-09-14,Tii,,reforestacion,,,-2.466634 -76.995128 0 0,,"[-2.466634, -76.995128]",siembra_madera_fina,Minquartia_guianensis,,
22,393235090,45b5e06c-5a8b-4c33-94a4-bbd2ada9169e,vyVCeasvVkmgvtHGva36kK,2024-10-09T20:59:02,Approved,1736873609,monitoreo_pachamama,2023-09-19,Tii,,reforestacion,,,-2.466774 -76.993696 0 0,,"[-2.466774, -76.993696]",siembra_madera_fina,Cedrela_odorate,,
23,393235221,6b4a606d-4f20-4219-bc36-bbdfc4a408c9,vyVCeasvVkmgvtHGva36kK,2024-10-09T20:59:51,Approved,1736873607,monitoreo_pachamama,2023-09-19,Tii,,reforestacion,,,-2.466956 -76.993658 0 0,,"[-2.466956, -76.993658]",siembra_madera_fina,Cedrela_odorate,,
24,393235349,09ff9a4d-91c1-40f3-9695-084375a07cd3,vyVCeasvVkmgvtHGva36kK,2024-10-09T21:00:27,Approved,1736873605,monitoreo_pachamama,2023-09-19,Tii,,reforestacion,,,-2.466921 -76.99365 0 0,,"[-2.466921, -76.99365]",siembra_madera_fina,Cedrela_odorate,,
25,393235410,347b02c6-a0cb-45ea-b59a-c6e7fa3bd44d,vyVCeasvVkmgvtHGva36kK,2024-10-09T21:00:52,Approved,1736873604,monitoreo_pachamama,2023-09-19,Tii,,reforestacion,,,-2.466964 -76.993685 0 0,,"[-2.466964, -76.993685]",siembra_madera_fina,Cedrela_odorate,,
26,393235512,3936a273-1169-4846-86d5-002e65f3a722,vyVCeasvVkmgvtHGva36kK,2024-10-09T21:01:27,Approved,1736873602,monitoreo_pachamama,2023-09-19,Tii,,reforestacion,,,-2.467035 -76.993601 0 0,,"[-2.467035, -76.993601]",siembra_madera_fina,Cedrela_odorate,,
27,393235574,88eba91c-c787-404e-aa42-3d337d8c4eca,vyVCeasvVkmgvtHGva36kK,2024-10-09T21:01:54,Approved,1736873600,monitoreo_pachamama,2023-09-19,Tii,,reforestacion,,,-2.467017 -76.993675 0 0,,"[-2.467017, -76.993675]",siembra_madera_fina,Cedrela_odorate,,
28,393235641,6b6a756d-22df-4da0-bd5b-4f25520429ad,vyVCeasvVkmgvtHGva36kK,2024-10-09T21:02:18,Approved,1736873598,monitoreo_pachamama,2023-09-19,Tii,,reforestacion,,,-2.467089 -76.993663 0 0,,"[-2.467089, -76.993663]",siembra_madera_fina,Cedrela_odorate,,
29,393235727,8ec266b2-0457-4dca-b743-83256e7ebb0b,vyVCeasvVkmgvtHGva36kK,2024-10-09T21:02:46,Approved,1736873597,monitoreo_pachamama,2023-09-19,Tii,,reforestacion,,,-2.467146 -76.993691 0 0,,"[-2.467146, -76.993691]",siembra_madera_fina,Cedrela_odorate,,
30,393235851,766a782f-7cb4-44c8-a0a4-037d186909e6,vyVCeasvVkmgvtHGva36kK,2024-10-09T21:03:13,Approved,1736873594,monitoreo_pachamama,2023-09-19,Tii,,reforestacion,,,-2.467578 -76.993798 0 0,,"[-2.467578, -76.993798]",siembra_madera_fina,Cedrela_odorate,,
31,393236009,b6e962dd-d51c-4b4d-9f0b-6ea806318761,vyVCeasvVkmgvtHGva36kK,2024-10-09T21:03:53,Approved,1736873593,monitoreo_pachamama,2023-09-19,Tii,,reforestacion,,,-2.467622 -76.993721 0 0,,"[-2.467622, -76.993721]",siembra_madera_fina,Cedrela_odorate,,
32,393236088,a4662d8f-683c-4be7-a487-be49e3085d90,vyVCeasvVkmgvtHGva36kK,2024-10-09T21:04:18,Approved,1736873591,monitoreo_pachamama,2023-09-19,Tii,,reforestacion,,,-2.467675 -76.993713 0 0,,"[-2.467675, -76.993713]",siembra_madera_fina,Cedrela_odorate,,
33,393236142,8c7bd41b-7266-405f-895c-ca183b81474d,vyVCeasvVkmgvtHGva36kK,2024-10-09T21:04:44,Approved,1736873692,monitoreo_pachamama,2023-09-19,Tii,,reforestacion,,,-2.467712 -76.993674 0 0,,"[-2.467712, -76.993674]",siembra_madera_fina,Cedrela_odorate,,
34,393236186,f9823303-761c-44ca-94da-57c10d6d4180,vyVCeasvVkmgvtHGva36kK,2024-10-09T21:05:07,Approved,1736873691,monitoreo_pachamama,2023-09-19,Tii,,reforestacion,,,-2.467885 -76.993709 0 0,,"[-2.467885, -76.993709]",siembra_madera_fina,Cedrela_odorate,,
35,393236241,3cb78ffb-0dbe-4773-b6a2-6676b9d0f9c1,vyVCeasvVkmgvtHGva36kK,2024-10-09T21:05:34,Approved,1736873690,monitoreo_pachamama,2023-09-19,Tii,,reforestacion,,,-2.468231 -76.99387 0 0,,"[-2.468231, -76.99387]",siembra_madera_fina,Cedrela_odorate,,
36,393236328,6f21a0cd-0aa3-414f-a075-87dd7163ea78,vyVCeasvVkmgvtHGva36kK,2024-10-09T21:05:57,Approved,1736873688,monitoreo_pachamama,2023-09-19,Tii,,reforestacion,,,-2.468243 -76.993866 0 0,,"[-2.468243, -76.993866]",siembra_madera_fina,Cedrela_odorate,,
37,393236371,a2d53edc-19eb-4635-949a-664078e49b13,vyVCeasvVkmgvtHGva36kK,2024-10-09T21:06:20,Approved,1736873685,monitoreo_pachamama,2023-09-19,Tii,,reforestacion,,,-2.468243 -76.993866 0 0,,"[-2.468243, -76.993866]",siembra_madera_fina,Cedrela_odorate,,
38,393236430,16e816d7-5042-4a4f-9a10-bcfbbdc15de3,vyVCeasvVkmgvtHGva36kK,2024-10-09T21:06:46,Approved,1736873683,monitoreo_pachamama,2023-09-19,Tii,,reforestacion,,,-2.468041 -76.993715 0 0,,"[-2.468041, -76.993715]",siembra_madera_fina,Cedrela_odorate,,
39,395048714,7f8a4766-abec-4512-8edf-d46a4acf6b75,vyVCeasvVkmgvtHGva36kK,2024-10-14T19:16:15,Approved,1736873444,monitoreo_pachamama,2024-01-09,Juan,,reforestacion,,,,,"[None, None]",siembra_madera_fina,,,
40,395048860,04a1ba85-0e67-4100-9a14-4f0eefa6cb38,vyVCeasvVkmgvtHGva36kK,2024-10-14T19:16:41,Approved,1736873442,monitoreo_pachamama,2024-01-09,Santiago,,reforestacion,,,,,"[None, None]",siembra_madera_fina,,,
41,395070506,80ee5c31-91ea-4b51-813c-68198fd87c8e,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:41:17,Approved,1736873318,monitoreo_pachamama,2024-05-01,Manuel,,reforestacion,,,-2.46673 -2.46673 0 0,,"[-2.46673, -2.46673]",siembra_madera_fina,Abio,,
42,395070624,c65d8baa-1185-485f-b40b-86635aa2fbda,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:41:57,Approved,1736873316,monitoreo_pachamama,2024-05-01,Manuel,,reforestacion,,,-2.464871 -2.464871 0 0,,"[-2.464871, -2.464871]",siembra_madera_fina,Cedrela_odorate,,
43,395070657,2b9a45f6-c5f4-4ac4-88c1-280bf1077274,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:42:18,Approved,1736873314,monitoreo_pachamama,2024-05-01,Manuel,,reforestacion,,,-2.464531 -2.464531 0 0,,"[-2.464531, -2.464531]",siembra_madera_fina,Otra_sp,,
44,395070962,5cb36b0a-b14f-4577-9cf2-8c4277f443f9,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:43:40,Approved,1736873313,monitoreo_pachamama,2024-05-01,Agustin,,reforestacion,,,-2.463591 -76.985874 0 0,,"[-2.463591, -76.985874]",siembra_madera_fina,Minquartia_guianensis,,
45,395071059,2ade4b01-1537-4907-8a74-5fd8451c8d79,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:43:58,Approved,1736873311,monitoreo_pachamama,2024-05-01,Agustin,,reforestacion,,,-2.463591 -76.985886 0 0,,"[-2.463591, -76.985886]",siembra_madera_fina,Minquartia_guianensis,,
46,395071144,1f52fcc6-24d7-464b-9aab-94080d32eddc,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:44:16,Approved,1736873309,monitoreo_pachamama,2024-05-01,Agustin,,reforestacion,,,-2.463644 -76.985936 0 0,,"[-2.463644, -76.985936]",siembra_madera_fina,Minquartia_guianensis,,
47,395071314,68cf8434-a312-469f-b4ae-627933f3f7dd,vyVCeasvVkmgvtHGva36kK,2024-10-14T20:44:52,Approved,1736873307,monitoreo_pachamama,2024-05-01,Agustin,,reforestacion,,,-2.4637 -76.985891 0 0,,"[-2.4637, -76.985891]",siembra_madera_fina,Cedrela_odorate,,
