,_id,_uuid,__version__,_submission_time,_validation_status,timestamp,_submitted_by,Fecha,Creado_por,Monitor,Comunidad,Actividad_monitorear,Numero_hombres,Numero_mujeres,Tipo_asamblea,Numero_dias,Foto_asamblea,Decision_principal
41,590835522,1d5225c9-8756-46c4-9d79-f2fec6142370,vQaAiL5BYvYvreRhGTQPrc,2025-10-25T16:30:38,Approved,1761678020,conservacion_sharamentsa,2025-10-25,Tsamarin_Puanchir_Wanach_Manuel,Tsamarin puwainchir wanach Manuel,Sharamentsa,Asambleas,20,21,Extraordinaria,6,1761408677777.jpg,Inauguración del Colegio José Moncada en la Comunidad Achuar Sharamentsa.
42,591327324,98ccd721-94b5-4135-b5d3-3f1e9c48f1f0,vQaAiL5BYvYvreRhGTQPrc,2025-10-26T18:34:26,Approved,1761572253,conservacion_wayusentsa,2025-10-26,Yunkar_Senkuan_Timias_Rafael,Yunkar Senkuan Timias Rafael,Wayusentsa,Asambleas,28,21,Extraordinaria,1,1761491380277.jpg,Firma del convenio firma de convenio con fundacion kara solar
43,591908332,c1ab9b15-01dd-4d99-ad95-8758af8d7549,vEgVoZ34fNMvzWLmfts2nL,2025-10-27T13:56:06,Approved,1761678087,conservacion_sharamentsa,2025-10-26,Tsamarin_Puanchir_Wanach_Manuel,Tsamarin puwanchir wanach Manuel,Sharamentsa,Asambleas,31,35,Extraordinaria,8,1761573031391.jpg,Evaluación e informe del aniversario de la comunidad Achuar Sharamentsa
44,591956609,3da070f8-6730-4629-9b25-ecdfd2648e85,vQaAiL5BYvYvreRhGTQPrc,2025-10-27T14:44:56,Approved,1761591845,conservacion_wayusentsa,2025-10-27,Yunkar_Senkuan_Timias_Rafael,Yunkar Senkuan Timias Rafael,Wayusentsa,Asambleas,18,23,Extraordinaria,1,1761576119104.jpg,capacitacion  Tema nuevo emprendimiento  de conservacion  energia renobable
45,598206049,af411327-f5d7-4f4e-9370-20eb09ffdcf6,vQaAiL5BYvYvreRhGTQPrc,2025-11-04T16:53:55,Approved,1762354783,conservacion_wayusentsa,2025-11-04,Yunkar_Senkuan_Timias_Rafael,Yunkar Senkuan Timias Rafael,Wayusentsa,Asambleas,15,15,Extraordinaria,1,1762273598129.jpg,Un reunión por parte del fundación cara solar  y más  periodista
46,608680475,370ca61b-d6ee-4dcd-987e-8a6a3cd80bbf,vQaAiL5BYvYvreRhGTQPrc,2025-11-18T12:20:18,Approved,1764168388,conservacion_wayusentsa,2025-11-17,Yunkar_Senkuan_Timias_Rafael,Yunkar Senkuan Timias Rafael,Wayusentsa,Asambleas,12,20,Extraordinaria,1,1763399024413.jpg,Capacitación del madres x parte de  fundación kara solar
47,615447083,5a5a68ad-472a-4ea1-8321-e0818196820e,vQaAiL5BYvYvreRhGTQPrc,2025-11-26T11:46:04,Approved,1764187898,conservacion_sharamentsa,2025-11-25,Yunkar_Esach_Tii_Oswaldo,Yunkar Esach Tii oswaldo,Sharamentsa,Asambleas,37,36,Extraordinaria,6,1764083965732.jpg,Reformar del reglamento interno educativo basándose de la comunidad
48,615505820,30e34278-aebc-49bb-83ea-72c04bcfac65,v6eW39yj5am7wNzxnkSH4a,2025-11-26T12:53:05,Approved,1764168688,conservacion_wayusentsa,2025-11-08,Yunkar_Senkuan_Timias_Rafael,Yunkar senkuan Tímias Rafael,Wayusentsa,Asambleas,150,50,Extraordinaria,1,1762612430251.jpg,Definición de preprimaria de pachakutik para GAD Montalvo
49,615543842,9af0eb3d-7152-4f44-9be4-60c9c543d01a,vQaAiL5BYvYvreRhGTQPrc,2025-11-26T13:37:25,Approved,1764168278,conservacion_wayusentsa,2025-11-26,Yunkar_Senkuan_Timias_Rafael,Yunkar Senkuan Timias Rafael,Wayusentsa,Asambleas,14,18,Extraordinaria,1,1764164064226.jpg,"Reunión del conservación biocultural,Churuya y Jempe"
50,625364338,333ef56f-8e25-4d22-9956-e5dfadd5e97d,vQaAiL5BYvYvreRhGTQPrc,2025-12-08T22:08:04,Approved,1765330973,conservacion_wayusentsa,2025-12-08,Naichap_Santi_Amaru_Gabriel,Naichap Santi Gabriel Amaru,Wayusentsa,Asambleas,60,50,Ordinaria,6,1765231646904.jpg,RIOS SOLARES  2025 . MOTERES ESLECTRICOS
51,627248952,5434169d-54ea-48b4-babe-f596481ea351,v6eW39yj5am7wNzxnkSH4a,2025-12-10T21:03:13,Approved,1766162192,conservacion_wayusentsa,2025-12-05,Yunkar_Senkuan_Timias_Rafael,Callera wampach Alfredo Nayaim,Wayusentsa,Asambleas,34,24,Ordinaria,1,1764946859898.jpg,"Salud, educación, política, Territorio, fundación kara solar, CTC sharamentsa, conservación de biocultural jaguar."
52,627249373,dee601f3-5d1c-4876-b118-69a82e6831d3,v6eW39yj5am7wNzxnkSH4a,2025-12-10T21:04:31,Approved,1767738137,conservacion_wayusentsa,2025-12-09,Naichap_Santi_Amaru_Gabriel,Nichap Santi Amaru Gabriel,Wayusentsa,Asambleas,40,15,Ordinaria,2,1765298659636.jpg,
53,628108849,5983ad8a-675a-414b-a71b-54185e724cc2,vQaAiL5BYvYvreRhGTQPrc,2025-12-11T21:41:11,Approved,1766162081,conservacion_wayusentsa,2025-12-10,Yunkar_Senkuan_Timias_Rafael,Yunkar Senkuan Timias Rafael,Wayusentsa,Asambleas,42,23,Ordinaria,1,1765386109188.jpg,Asamblea de cara solar
54,639179023,a4a479e1-c7d4-4ee2-94d3-5158ad4a5a21,v6eW39yj5am7wNzxnkSH4a,2025-12-28T14:11:09,Approved,1767738039,conservacion_wayusentsa,2025-12-17,Yunkar_Senkuan_Timias_Rafael,Yunkar senkuan Timias Rafael,Wayusentsa,Asambleas,250,258,Ordinaria,4,1766019542637.jpg,Congreso de la Nacionalidad achuar del Ecuador NAE
55,672581528,56d1e594-6c38-471d-9a34-006dd4542cce,v6eW39yj5am7wNzxnkSH4a,2026-02-15T14:32:06,Approved,1771258985,conservacion_wayusentsa,2026-02-10,Yunkar_Senkuan_Timias_Rafael,yunkar senkuan Timias Rafael,Wayusentsa,Asambleas,24,22,Ordinaria,6,1770756281945.jpg,ANALISIS SOBRE LEGLAMENTO DE CONSERVACION
