,_id,_uuid,__version__,_submission_time,_validation_status,timestamp,_submitted_by,Fecha,CreadoPor,Monitor,Comunidad,Entorno,Tipo_evidencia,Descripcion,N_jaguares,Conflictos_jaguar,Otros_animales,Nivel_taxonomico,Nombre_cientifico,Nombre_achuar,Nombre_comun,Punto_evidencia,Latitud,Longitud,Foto_evidencia,Foto_url
63,612281338,a6593a52-5ca7-4cc6-8755-18baacb2d646,vZckxcSV7USiKwLCDE2VjP,2025-11-22T12:57:13,Approved,1764078794,conservacion_napurak,2025-11-21,Mukucham_Tiriats_Yankur_Santiago,,Napurak,Hemos encontrado la evidencia de jaguar en el orilla de rio pastaza,Huellas o rastros,8,5,,,Especie,En el horilla de rio pastaza,Juunt yawa,,-2.5140426 -77.0021648 280.5 5.0,-2.5140426,-77.0021648,1763723713738.jpg,https://kf.kobotoolbox.org/api/v2/assets/aKddSqk2oEMnMT2QLyWbqh/data/612281338/attachments/attEiWc9LMoL7ggc3pELXA4S/
64,612560189,55f74ec2-c048-495e-977a-cf7556557ab5,vZckxcSV7USiKwLCDE2VjP,2025-11-22T22:06:10,Approved,1764169125,conservacion_wayusentsa,2025-11-19,Yunkar_Senkuan_Timias_Rafael,Yunkar Senkuan Timias Rafael,Wayusentsa,En kantash entsa,Huellas o rastros,Huella,1,,,,,Yankipik,pecari collar blanco,-2.4639111 -76.9108258 270.3 5.0,-2.4639864,-76.910982,1763578723958.jpg,https://kf.kobotoolbox.org/api/v2/assets/aKddSqk2oEMnMT2QLyWbqh/data/612560189/attachments/attyKVKhqGzcjoDBxJHMmrJ8/
65,612560240,a0658945-b398-48d4-8232-2b6ec1d80557,vZckxcSV7USiKwLCDE2VjP,2025-11-22T22:06:21,Approved,1764169058,conservacion_wayusentsa,2025-11-20,Yunkar_Senkuan_Timias_Rafael,Yunkar Senkuan Timias Rafael,Wayusentsa,Sendero jempe tuna,Huellas o rastros,Huella y rastros,1,,,,,Yankipik,Sajino,-2.4688433 -76.89946 310.7 5.0,-2.468825,-76.8994733,1763640496504.jpg,https://kf.kobotoolbox.org/api/v2/assets/aKddSqk2oEMnMT2QLyWbqh/data/612560240/attachments/attmBuGDNa6BRqpY2nBowA3Y/
66,622132340,29e7cb44-6824-4504-8c88-799dfb959dee,vZckxcSV7USiKwLCDE2VjP,2025-12-04T13:20:07,Approved,1764855092,conservacion_wayusentsa,2025-12-02,Yunkar_Senkuan_Timias_Rafael,Yunkar Senkuan Timias Rafael,Wayusentsa,En camino titintsa,Huellas o rastros,Huella,1,,,,,Japa,Venado,-2.4670053 -76.9196373 310.40000000000003 4.88,-2.4669326,-76.9194962,1764691554697.jpg,https://kf.kobotoolbox.org/api/v2/assets/aKddSqk2oEMnMT2QLyWbqh/data/622132340/attachments/attPnYRbf99hNQXgJorAwwPK/
67,622132518,3c6efc96-d0b9-47ae-b63c-2676953be984,vZckxcSV7USiKwLCDE2VjP,2025-12-04T13:20:18,Approved,1766162584,conservacion_wayusentsa,2025-12-02,Yunkar_Senkuan_Timias_Rafael,Yunkar Senkuan Timias Rafael,Wayusentsa,En saladero,Huellas o rastros,Huella,1,,,,,Pama,Tapir,-2.4692735 -76.9228806 260.7 5.0,-2.4692063,-76.9227687,1764695194382.jpg,https://kf.kobotoolbox.org/api/v2/assets/aKddSqk2oEMnMT2QLyWbqh/data/622132518/attachments/attbMd8PyWX6miRKBLfERvKD/
68,628109044,e2272324-657d-4f63-85c2-b0a2758d61b1,vZckxcSV7USiKwLCDE2VjP,2025-12-11T21:41:39,Approved,1766162541,conservacion_wayusentsa,2025-12-11,Yunkar_Senkuan_Timias_Rafael,Yunkar Senkuan Timias Rafael,Wayusentsa,Sendero jempe tuna,Huellas o rastros,Huella,1,,,,,Pama,Tapir,-2.4671525 -76.9051852 316.90000000000003 3.906,-2.4671525,-76.9051852,1765481706471.jpg,https://kf.kobotoolbox.org/api/v2/assets/aKddSqk2oEMnMT2QLyWbqh/data/628109044/attachments/attRbkBPvEbJ9XsQTQfr34cF/
69,630426795,8fe13365-dc71-4ea9-8bd9-c8f2fde22293,vZckxcSV7USiKwLCDE2VjP,2025-12-15T12:29:22,Approved,1766701034,conservacion_wayusentsa,2025-12-15,Yunkar_Senkuan_Timias_Rafael,Yunkar Senkuan Timias Rafael,Wayusentsa,Camino en barrio  Memte,Huellas o rastros,Huella,1,,,,,Junyawa,Jaguar,-2.4560833 -76.91365 267.7 4.8,-2.456113,-76.9136287,1765799567175.jpg,https://kf.kobotoolbox.org/api/v2/assets/aKddSqk2oEMnMT2QLyWbqh/data/630426795/attachments/att7nVaoeg26mGMf3Qbd5zR8/
70,631298521,40f50d95-1441-4451-a7a7-2e4a85d3c1e0,vZckxcSV7USiKwLCDE2VjP,2025-12-16T11:58:41,Approved,1766162401,conservacion_wayusentsa,2025-12-15,Yunkar_Senkuan_Timias_Rafael,Yunkar Senkuan Timias Rafael,Wayusentsa,En Sendero jempe tuna,Huellas o rastros,Huella,1,,,,,Pama,Tapir,-2.4672578 -76.9011495 248.0 4.92,-2.467684,-76.9000801,1765829972775.jpg,https://kf.kobotoolbox.org/api/v2/assets/aKddSqk2oEMnMT2QLyWbqh/data/631298521/attachments/attDmRi3qgxztb3C9rZmkAuc/
71,633208467,c15293f5-5c18-429a-b0c0-7a0f2c314da6,vZckxcSV7USiKwLCDE2VjP,2025-12-18T13:10:41,Approved,1766162321,conservacion_wayusentsa,2025-12-16,Yunkar_Senkuan_Timias_Rafael,Yunkar Senkuan Timias Rafael,Wayusentsa,En panintsa,Huellas o rastros,Huella,1,,,,,Yankun,Armadillo gigante,-2.46929 -76.9036783 303.6 4.3,-2.4692974,-76.9036849,1765893813829.jpg,https://kf.kobotoolbox.org/api/v2/assets/aKddSqk2oEMnMT2QLyWbqh/data/633208467/attachments/atteMXeQUfY7j73MQGnbwdFR/
72,641050909,6bf1b4a2-8a7d-459a-8048-b1e7eacbd358,vZckxcSV7USiKwLCDE2VjP,2025-12-31T13:59:35,Approved,1767789279,conservacion_napurak,2026-01-03,Mukucham_Tiriats_Yankur_Santiago,,Napurak,En en lindero de napurak a wampuik,Huellas o rastros,8,5,,,Especie,,Junt Yawa,,-2.5577278 -77.0126605 284.09999999999997 4.48,-2.5585671,-77.0128081,1767018366563.jpg,https://kf.kobotoolbox.org/api/v2/assets/aKddSqk2oEMnMT2QLyWbqh/data/641050909/attachments/attVNNryuEpiWgTgn2YAjShx/
