,_id,seguridad_alimentaria,otra_seguridad_alimentaria
293,429948361,,
294,429949036,,
295,429949355,,
296,429949428,,
297,429949646,,
298,429949773,,
299,429949820,,
300,429950181,,
301,429950282,,
302,429950414,,
303,429950450,,
304,429950514,,
305,429950645,,
306,429950686,,
307,429950784,,
308,429951916,,
309,429951989,,
310,429952069,,
311,429952101,,
312,429952180,,
313,429952228,,
314,429952292,,
315,429952401,,
316,429952438,,
317,429952517,,
318,429952565,,
319,429952625,,
320,429952752,,
321,429953063,,
322,429953202,,
323,429953264,,
324,429953344,,
325,429953432,,
326,429953503,,
327,429953595,,
328,429953629,,
329,429953666,,
330,429953727,,
331,429953771,,
332,429953821,,
333,429953887,,
334,429953960,,
335,429954256,,
336,429954440,,
337,429954496,,
338,429954530,,
339,429954645,,
340,429954820,,
341,429954953,,
342,429955014,,
343,429955102,,
344,429955152,,
345,429955197,,
346,429955242,,
347,429955276,,
348,429955323,,
349,429955361,,
350,429955391,,
351,429955450,,
352,429955511,,
353,429955608,,
354,429955665,,
355,429955717,,
356,429955761,,
357,429955822,,
358,429955879,,
359,429955922,,
360,429955969,,
361,429956008,,
362,429956084,,
363,429958189,,
364,429958252,,
365,429958322,,
366,429958391,,
367,429958441,,
368,429958500,,
369,429958563,,
370,429958632,,
371,429958724,,
372,429958811,,
373,429958879,,
374,429958964,,
375,429959100,,
376,429959197,,
377,429959350,,
378,429959521,,
379,429959739,,
380,429959829,,
381,429960151,,
382,429960245,,
383,429960309,,
384,429960384,,
385,429960433,,
386,429960501,,
387,429960573,,
388,429960635,,
389,429960875,,
390,429961162,,
391,429961225,,
392,429961320,,
393,429961409,,
394,429961520,,
395,429961582,,
396,429961924,,
397,429962039,,
398,429962141,,
399,429962191,,
400,429962309,,
401,429962377,,
402,429962467,,
403,429962558,,
404,429962699,,
405,429962842,,
406,429962947,,
407,429963067,,
408,429963550,,
409,429963681,,
410,429963855,,
411,429964078,,
412,429964173,,
413,429964259,,
414,429964357,,
415,429964439,,
416,429964551,,
417,429964677,,
418,429964837,,
419,429965322,,
420,429965473,,
421,429965641,,
422,429965738,,
423,429965861,,
424,429965933,,
425,429966326,,
426,429966454,,
427,429966540,,
428,429966660,,
429,429966872,,
430,429967021,,
431,429967275,,
432,429967372,,
433,429967525,,
434,429967604,,
435,429967799,,
436,429967879,,
437,429967956,,
438,429968067,,
439,429968174,,
440,429968251,,
441,429968699,,
442,429968814,,
443,429968945,,
444,429969032,,
445,429969332,,
446,429969586,,
447,429969724,,
448,429969863,,
449,429970071,,
450,429970196,,
451,429970580,,
452,430106533,,
453,430107206,,
454,430107521,,
455,430107725,,
456,430107960,,
457,430108191,,
458,430108683,,
459,430108872,,
460,430109059,,
461,430109339,,
462,430109695,,
463,430110012,,
464,430110271,,
465,430110599,,
466,430110801,,
467,430111014,,
468,430111213,,
469,430111459,,
470,430111731,,
471,430112093,,
472,430112359,,
473,430112591,,
474,430112818,,
475,430113069,,
476,430113330,,
477,430113672,,
478,430113917,,
479,430114170,,
480,430114393,,
481,430114523,,
482,430114736,,
483,430114936,,
484,430115123,,
485,430115363,,
486,430115570,,
487,430115870,,
488,430116126,,
489,430116296,,
490,430116442,,
491,430116869,,
492,430117307,,
493,430117873,,
494,430118214,,
495,430119397,,
496,430119716,,
497,430120598,,
498,430120934,,
499,430121188,,
500,430121428,,
501,430121639,,
502,430121924,,
503,430122187,,
504,430122469,,
505,430122699,,
506,430122893,,
507,430123087,,
508,430124260,,
509,430124792,,
510,430125048,,
511,430125266,,
512,430125490,,
513,430125740,,
514,430126038,,
515,430126359,,
516,430126635,,
517,430126925,,
518,430127271,,
519,430127566,,
520,430127805,,
521,430128283,,
522,430128698,,
523,430128935,,
524,430129176,,
525,430129358,,
526,430129566,,
527,430129789,,
528,430130135,,
529,430130356,,
530,430130620,,
531,430130860,,
532,430131255,,
533,430131465,,
534,430131927,,
535,430132156,,
536,430132462,,
537,430132867,,
538,430133197,,
539,430133527,,
540,430133776,,
541,430134023,,
542,430137942,,
543,430139170,,
544,430141636,,
545,430141893,,
546,430142119,,
547,430142301,,
548,430142668,,
549,430142892,,
550,430143098,,
551,430143676,,
552,430143831,,
553,430143997,,
554,430144190,,
555,430144396,,
556,430144623,,
557,430144931,,
558,430145301,,
559,430145764,,
560,430146024,,
561,430146311,,
562,430146666,,
563,430146833,,
564,430147037,,
565,430147266,,
566,430147466,,
567,430147956,,
568,430148297,,
569,430148542,,
570,430148931,,
571,430149625,,
572,430150288,,
573,430150666,,
574,430151072,,
575,430151295,,
576,430151527,,
577,430151831,,
578,430152072,,
579,430154983,,
580,430155466,,
581,430155710,,
582,430155937,,
583,430156161,,
584,430156377,,
585,430156563,,
586,430156799,,
587,430157194,,
588,430157658,,
589,430157983,,
590,430158297,,
591,430158625,,
592,430158980,,
593,430159329,,
594,430159572,,
595,430159865,,
596,430160096,,
597,430160573,,
598,430160833,,
599,430161066,,
600,430161327,,
601,430161565,,
602,430161827,,
603,430162019,,
604,430162417,,
605,430162623,,
606,430162793,,
607,430162956,,
608,430163160,,
609,430163442,,
610,430163765,,
611,430164050,,
612,430164614,,
613,430164950,,
614,430165264,,
615,430165523,,
616,430166251,,
617,430166935,,
618,430167306,,
619,430167806,,
620,430168277,,
621,430168719,,
622,430168962,,
623,430169260,,
624,430169693,,
625,430169871,,
626,430170102,,
627,430170459,,
628,430170699,,
629,430170906,,
630,430171124,,
631,430171450,,
632,430171695,,
633,430171953,,
634,430172347,,
635,430172498,,
636,430172763,,
637,430173091,,
638,430173338,,
639,430173578,,
640,430173788,,
641,430174116,,
642,430174333,,
643,430174577,,
644,430174802,,
645,430175080,,
646,430175306,,
647,430175612,,
648,430175881,,
649,430176153,,
650,430176456,,
651,430176779,,
652,430177158,,
653,430177401,,
654,430177635,,
655,430178192,,
656,430178405,,
657,431821039,,
658,431821534,,
659,431821748,,
660,431822152,,
661,431822433,,
662,431822898,,
663,431823479,,
664,431823976,,
665,431824245,,
666,431825689,,
667,431825835,,
668,431826208,,
669,431826469,,
670,431826904,,
671,431827074,,
672,431837367,,
673,431838097,,
674,431838588,,
675,431839251,,
676,431839561,,
677,431839843,,
678,431841724,,
679,431842777,,
680,431843019,,
